1 5 0
2 4 0
3 5 0
4 5 0
5 4 0
6 5 0
7 5 1
8 4 0
9 4 0
10 5 1
11 4 0
12 4 0
13 2 0
14 4 0
15 4 0
16 3 1
17 4 0
18 4 0
19 4 0
20 4 0
21 3 0
22 5 1
23 4 0
24 5 0
25 4 0
26 4 0
27 5 0
28 4 0
29 3 0
30 3 1
31 4 0
32 3 0
33 4 0
34 5 0
35 3 1
36 5 0
37 5 0
38 4 0
39 4 0
40 5 0
41 4 0
42 4 0
43 4 0
44 5 1
45 5 1
46 5 1
47 3 1
48 4 0
49 3 0
50 5 1
51 4 0
52 4 0
53 4 0
54 4 0
55 2 0
56 4 1
57 3 0
58 4 0
59 6 0
60 3 0
61 5 0
62 3 0
63 4 0
64 5 0
65 4 0
66 5 0
67 4 0
68 4 0
69 4 0
70 3 0
71 5 0
72 5 0
73 5 0
74 4 0
75 5 0
76 4 0
77 4 0
78 5 1
79 4 0
80 3 0
81 5 0
82 5 0
83 3 0
84 5 0
85 4 0
86 5 0
87 3 0
88 5 0
89 4 1
90 4 0
91 4 0
92 3 0
93 4 0
94 5 0
95 4 0
96 5 0
97 4 0
98 4 1
99 4 0
100 5 0
101 4 0
102 5 0
103 3 0
104 4 1
105 3 0
106 4 0
107 4 0
108 4 0
109 5 0
110 4 0
111 4 1
112 4 0
113 4 0
114 5 0
115 4 0
116 4 0
117 5 0
118 4 1
119 5 0
120 5 1
121 5 0
122 3 0
123 4 0
124 5 1
125 5 0
126 5 0
127 4 0
128 4 0
129 4 1
130 4 1
131 3 0
132 5 0
133 4 0
134 4 0
135 4 0
136 4 0
137 3 0
138 4 0
139 5 0
140 3 0
141 5 0
142 5 0
143 3 0
144 5 0
145 5 0
146 4 0
147 5 1
148 4 0
149 3 0
150 4 0
151 4 1
152 3 0
153 4 0
154 3 0
155 5 0
156 3 0
157 4 0
158 4 0
159 4 0
160 4 0
161 4 0
162 4 0
163 3 0
164 6 1
165 4 0
166 6 1
167 3 0
168 6 0
169 4 0
170 5 1
171 3 0
172 4 1
